Name,Address,Latitude,Longitude,rating,text,time
"Miller, Frye and Chapman Hotel","42434 Nicholas River, West Brittney, OH 13487",-75.271234,84.386088,4.4,Letter police thing wind.,6/11/2024
Mathis-Sanchez Cafe,"257 Morales Forge, Port James, TN 64213",-32.727524,13.532604,4.4,Already budget bit yet easy.,1/10/2024
Scott-Gomez Park,"69702 Terry Ways Suite 013, Reyestown, IN 07941",-28.619492,-78.990766,4.5,Ground wish hotel room.,5/27/2024
Allen-Higgins Museum,"818 Roger Rest Apt. 864, Donaldmouth, MI 42814",86.97161,-10.280386,3.9,Better treat upon fire option so production scene at record turn.,2/8/2024
Ramirez-Hawkins Museum,"05184 Bonnie Drive Apt. 657, Josephshire, PA 19502",40.270443,54.485393,4.2,Indicate argue leave doctor cause sister house director million.,8/14/2024
Mendoza-Fisher Cafe,"7744 Crawford Inlet Suite 837, Jacksonview, WA 09740",-54.423016,67.623386,3.9,Real bit feel part not century quickly must soon heart up answer including actually baby cell yeah prevent.,1/22/2024
Rodriguez LLC Hotel,"708 Flores Inlet Suite 332, East James, PA 66425",30.031661,-155.735639,4,More rise black traditional system young size instead.,3/7/2024
Lee Ltd Museum,"4448 Brown Pike Apt. 647, Lisabury, AZ 04034",-80.358712,81.370431,3.4,Question many population technology state teach attack produce writer campaign reach ready on suggest.,10/15/2024
"Rivas, Rubio and Gutierrez Museum","11351 King Views, Shawmouth, NC 16900",-67.609392,43.805129,3.7,Contain work night successful continue there bar exist test church page hotel civil whole.,9/14/2024
"Mccullough, Massey and Brewer Hotel","8743 Andrade Mill Suite 852, New Melissaberg, MD 62875",44.615256,4.332819,4.2,Learn reality player model live national.,12/9/2024
Moore-Abbott Cafe,"783 David Inlet, Scottland, WI 02891",18.276896,103.661727,4.7,I away room budget administration owner sit international.,8/3/2024
"Clark, Hamilton and West Park","2159 Hoover Road Apt. 126, Weberhaven, NJ 62357",-56.072989,27.640334,3.3,Rule put administration effect smile art now shoulder.,8/24/2024
Perry Inc Park,"21984 Santiago Rapid Suite 199, Markside, DE 13924",18.943049,83.950134,3.7,Tree trial imagine idea key manager but night audience full usually.,2/24/2024
Heath-Watson Cafe,"86890 Rebecca Rapid Suite 160, Patelshire, VA 31390",79.726431,-165.42153,4.1,Future subject fly food movie if per.,6/28/2024
Murphy LLC Cafe,"601 Charles Drives, Christopherstad, CA 68248",-28.845689,-52.176363,3.7,Natural family open address sound under present enjoy.,8/19/2024
Park-Wright Park,"88537 Brittney Gardens, Port Nathanhaven, KY 39389",-36.095563,140.106805,3.7,Suddenly strong ever majority hand letter of easy success traditional.,4/21/2024
Smith-Calderon Cafe,"7668 Stewart Gateway Apt. 077, Tinastad, DC 53379",47.620642,49.01017,3.3,Various exist make only mouth cup kind.,3/25/2024
"Sanchez, Medina and Paul Cafe","880 King Viaduct, Port Nancyhaven, GA 11459",-21.363657,110.250413,3.4,Often amount especially serve mission often character pick remember rich south.,10/19/2024
"Parker, Dougherty and Hughes Park","7282 Kayla Islands Suite 791, Port Alicia, NV 76917",25.025784,154.436658,4.2,Between total effect number itself whatever spend style.,2/5/2024
Snyder-Smith Restaurant,"862 King Corners, New Brent, WI 93228",88.360748,56.170375,3.6,Little generation series cold page later positive possible respond everything enough see strong series course direction.,9/6/2024
Mckinney and Sons Restaurant,"5417 Sarah Valleys, East Eric, ND 33344",-28.657495,147.820214,3.1,We big central later modern decade wish hard.,4/7/2024
"Hensley, Cox and Roach Cafe","32156 Susan Brooks Apt. 141, Jameschester, OR 91496",-56.151615,80.691316,4.3,Dinner attention war health right ten music cup music situation space less military nation gas deal pick both.,4/27/2024
"Mcguire, Reed and Silva Museum","1105 Elizabeth Wells, New Anthonyburgh, NE 91968",-78.071975,-145.014162,3.1,Save choose the pattern former represent little yourself artist simple sport beat.,3/25/2024
"Miller, Henry and Vargas Restaurant","46878 William Green, Johntown, PA 07254",-68.582467,-131.22015,4.7,Cell clear two budget prevent word person door.,11/12/2024
Carter Group Hotel,"2431 Timothy Lodge Suite 762, New Davidfurt, TX 01396",50.739651,-46.785747,4.2,Who see down four item offer century.,1/24/2024
Mata-Lee Museum,"121 Kim Points, Carloschester, NE 16265",17.374631,-21.272651,5,Under conference society country budget record oil against economy might great become cell later any.,11/9/2024
"Smith, Roberts and Cervantes Restaurant","667 Walker Place, Port Christian, UT 82606",62.331662,-76.017102,4.2,Bit first foot light sell four system hotel food available.,6/24/2024
"Price, Fernandez and Aguilar Cafe","53323 Bryan Union, Wilsonburgh, MA 91439",37.647034,-151.271896,3.8,Nation about dream something little yeah owner.,2/10/2024
Hopkins Group Restaurant,"93391 Saunders Corners, Joannamouth, WV 05545",48.600772,96.679219,3.1,Guy serious ask serve space left yourself seven team yeah.,11/24/2024
"Rodriguez, Wise and Brown Restaurant","223 Marilyn Crossroad, Christinahaven, NH 29800",-82.820735,-23.661425,3.3,Beyond take final pretty item training might both season program media up instead.,6/6/2024
"Wilson, Gomez and Crane Restaurant","Unit 4670 Box 0731, DPO AP 36057",52.267378,141.015755,3.8,Size simply sometimes article meeting whatever next institution close such forward sometimes color guess blood reveal agent.,4/10/2024
Young PLC Hotel,"80331 Thomas Squares Apt. 975, Meganchester, AZ 02257",11.366229,65.246266,4.6,Future pressure itself station question often thousand authority number sort decade.,3/17/2024
"Black, Hodges and Gibson Museum","Unit 1153 Box 3879, DPO AP 18635",-27.519385,-82.217399,4.9,Wind trouble will brother detail admit sure that try series.,5/19/2024
Jones-Vaughn Hotel,"14409 Richard Mountains, Lake Derek, VA 71593",84.127156,-25.230993,4.9,Others charge pretty hard moment discover man voice president.,1/25/2024
Cunningham-Sanders Hotel,"54177 Rodriguez Mission Apt. 394, Gilesburgh, OR 80701",-30.971123,39.801762,3.5,Likely democratic decade sense their response eight age eight reduce.,6/22/2024
Fuller Group Hotel,"8851 Alvarado Circle Apt. 213, Vasquezton, UT 14518",67.787876,-94.561795,4.2,Mean kind wife wish key senior brother.,7/6/2024
"Rivera, Smith and Peters Hotel","2435 Greene Divide, South Michaelchester, NV 02963",-70.905468,-68.370673,4.7,Become Mrs station fish me run begin exactly anyone too.,4/1/2024
Ayala-Dillon Hotel,"USNS Edwards, FPO AE 28937",-76.518442,-64.126866,4,Tree should together learn in agreement various once life across thank former.,4/27/2024
Olson-Rodriguez Park,"62273 Walton Skyway Apt. 709, Jenkinschester, CO 61295",-57.482289,86.770309,4.2,Suddenly by him ahead per common plan style democratic write number race early.,10/5/2024
"Jones, Crane and Robinson Park","346 Tyler Dam, West Jeffrey, NJ 66817",63.397445,-162.973636,4.8,Wide better white service concern natural success realize hold trade personal current.,9/17/2024
Sullivan and Sons Hotel,"64060 Davila Rapid, Michaelstad, MD 44111",37.47232,87.792863,4,Dark civil organization market help fill arrive Republican alone line.,2/25/2024
Torres-Sandoval Park,"2987 Roy Point, North Brandon, NV 04939",82.570283,-134.140216,4.4,Know class pay any prevent lose hard alone democratic.,1/19/2024
Zimmerman-Sullivan Museum,"Unit 7626 Box 6815, DPO AE 25041",39.577351,138.490396,3.6,Since spring but respond seat us police heart cup pattern.,1/21/2024
Stevens-Sanchez Museum,"340 Jennifer Point Suite 095, Josetown, NH 82099",63.568598,-115.771711,4.3,Determine section require wear however whose professional.,10/27/2024
"Hart, Williams and Johnson Museum","130 Mitchell Coves, Connorchester, IN 53775",25.291149,37.808722,5,Young hair wear dream growth garden let set interesting whose.,7/20/2024
"Williams, Mitchell and Ward Hotel","6209 Nicole Run Suite 308, West Robertberg, ID 28371",-50.958863,75.032831,4.3,Public wrong tough nature data.,9/10/2024
Garza-Reese Cafe,"USS Logan, FPO AE 65418",9.740667,164.288883,3.6,Hold several question hold than expert major.,1/5/2024
Sullivan Ltd Cafe,"4999 Gomez Village, Jessicaton, KY 69172",64.552699,106.65904,4.3,Small receive institution reason list business already else age campaign.,3/18/2024
Holloway-Black Hotel,"USNV Flynn, FPO AP 13053",-76.087389,32.693837,4,Prepare could interview order mean yes list until.,6/19/2024
Nelson-Leach Hotel,"527 Rivera Roads Apt. 710, Perkinschester, WA 84835",-14.123627,-43.173349,3.6,Hair thus join involve body low.,1/1/2024
Martinez-Cole Museum,"759 Griffin View, Mortonburgh, NE 13771",-59.232235,133.28939,3.3,Improve society east community pattern somebody reality perhaps.,2/10/2024
"Reyes, Trevino and Hill Cafe","53273 Mueller Ranch, Robertstad, IN 03455",72.794802,-35.47024,3.8,Billion manage no understand moment tough subject career.,9/21/2024
Compton-Smith Hotel,"PSC 1636, Box 7747, APO AE 00777",42.014318,-90.392988,3.2,Image individual tend attack start avoid role series who talk one tough over movie measure husband doctor major respond.,12/3/2024
Kramer Ltd Museum,"75115 Tara Place, West Christopherview, IN 57551",-30.146192,-68.584424,4.2,City various child physical cultural soon animal simply stay far rather theory.,10/27/2024
Foster Group Hotel,"USNV Vega, FPO AA 24557",-40.381545,65.425069,3.7,May discussion reduce development sea fine language region situation reflect consumer.,5/22/2024
Smith-English Park,"Unit 9264 Box 3298, DPO AE 67442",72.773547,-117.385841,5,Similar price two side anything.,11/11/2024
Clements LLC Cafe,"35385 Vasquez Plain Apt. 375, West Jamesborough, MS 86429",-59.035161,140.538278,4.8,Country room page consider make give general strategy available look money author seek responsibility move way.,6/24/2024
Barber-Barr Museum,"55848 Richards Coves Suite 216, West Lisa, VA 48949",52.315727,69.470702,4.4,Create miss rule once close data special imagine approach campaign be painting.,6/28/2024
Chung-Hunt Hotel,"5578 Jocelyn Lake, New Lindastad, KY 39047",5.982206,157.072607,4.7,Happy myself heavy someone not write produce effect.,3/17/2024
Williams-Fry Restaurant,"604 Casey Run, North Robertside, CO 82691",-18.229289,-151.883204,4.6,Into quality watch cost exactly anyone contain rock.,9/15/2024
Pruitt-Russell Hotel,"296 Clay Knoll, South Cassandrafort, NC 88616",29.363389,-163.944681,4.4,Person stay four sort money.,9/23/2024
Mccarthy-Malone Hotel,"882 Wilson Path, Port Ashleybury, IL 49079",-65.245605,-110.155211,3.4,Something several institution make simple not here respond.,9/4/2024
"Green, Fox and Roberson Museum","33953 Heather Summit, Barbarahaven, TN 30998",-83.255748,164.209446,3.7,Mean mouth stand later process special likely me thing far choice.,4/27/2024
Mcdaniel-Wang Hotel,"2070 Harris Trail Suite 330, South Michaelbury, MN 80336",-58.298549,-76.685326,3.5,Management address investment significant unit attention real wrong cup pattern.,2/17/2024
Olson-Morales Museum,"006 Jon Extensions, Port Joseville, DC 43196",68.618807,-110.530603,4.8,Realize foreign power end yes.,7/14/2024
"Matthews, Guzman and Castro Cafe","868 Smith Underpass, South Jasmine, WI 86519",72.318498,163.050618,3.6,Today foreign product fill son main.,6/21/2024
Hicks-Knight Hotel,"63342 Turner Trail, Nancyhaven, UT 51200",36.303143,-126.755066,3.3,Cell entire without ok authority might after indeed threat.,10/22/2024
"Buchanan, Todd and Salazar Park","80259 Espinoza Parks, Schmidtshire, OR 46339",51.360562,-140.70505,4.7,Check sister close shoulder indicate trouble.,7/30/2024
Foster PLC Park,"76411 Sparks Walk, New Brianside, AZ 57628",39.107973,133.285533,3.3,Democrat at remember themselves week.,1/5/2024
"Douglas, Pena and Holmes Hotel","USNS Williams, FPO AP 65118",26.499699,-34.932648,4.6,Though everything head condition run Mr mother establish however vote mouth early serious important everything hundred.,5/22/2024
"Murphy, Perry and Wilson Hotel","46805 Lee Ridges, North Jaredmouth, MN 92782",21.919543,128.875641,4.3,Sit onto plant past resource remember million no during pretty statement enter box.,12/15/2024
Buck-Rogers Park,"10883 Perkins Curve, Petersfurt, CO 63522",-81.704331,-53.647617,5,Determine really standard authority situation husband for reality itself.,10/30/2024
Dudley-Morrison Museum,"0540 Phillip Summit, Byrdside, CO 72430",-3.781219,-122.047613,4.5,Affect idea us career call turn stay mother morning blood win lose serve suddenly there defense.,12/29/2024
Burns-Taylor Restaurant,"8125 Matthew Prairie, Port Richard, NM 77475",72.189553,74.721762,3.3,Age Mr then call vote any little big send such town sign sort gas hard relationship bill.,7/30/2024
"Thompson, Hill and Rocha Cafe","106 Kaitlyn Alley, New Heather, WA 25156",70.191028,36.270721,4.5,Trade toward why environment company stock yourself lead.,4/20/2024
"Jones, Greene and May Hotel","501 Bowman Canyon Apt. 120, Jasminemouth, WA 85541",38.233673,-137.324359,3.8,Himself state nor nothing pull light economy give hotel push movement weight.,10/22/2024
"West, Mayo and Taylor Hotel","USNV Johnson, FPO AP 29403",84.046747,-142.702058,3.6,Serious raise carry none a friend continue them drop paper model.,2/29/2024
Love Group Museum,"918 Green Courts Suite 872, Dianaside, CA 02555",-49.383083,28.97111,3,Success either glass always else believe writer recognize when.,6/10/2024
Medina LLC Hotel,"0688 Sheila Ports, Cynthiastad, CT 22993",16.293255,-71.722027,3.3,Little beat relationship couple yourself yes only need blood already deal school remember next trip event mind key evidence office.,5/6/2024
"Archer, Wood and Rodriguez Cafe","201 Dominguez Points, West Michelle, NH 34836",5.794151,159.034328,3.2,Large both meeting present same sort recently team any.,7/29/2024
King Ltd Cafe,"003 Mark Ranch Apt. 964, New Amandaland, AR 42581",89.011391,-58.537125,4.9,Town buy energy build if by war condition herself center grow.,7/4/2024
"Harrell, Harrison and Duncan Restaurant","519 Krueger Drive Apt. 440, Vazquezstad, ME 06902",22.679903,-81.151036,3.6,That kitchen create man also religious.,1/15/2024
Miller and Sons Hotel,"412 Tracy Creek Suite 150, West Bradleyland, TX 21296",-15.413931,-117.195055,3.6,Interview star can easy country simply particular special commercial similar animal now out.,11/20/2024
"Reid, Valenzuela and Walker Museum","10174 Phillip Lane Apt. 359, Lambview, IA 94885",-13.040499,-65.401677,3.4,Rise low side can unit matter they minute eat.,11/15/2024
Ellison-Koch Museum,"080 Jeremy Road Apt. 284, Port Megan, CO 39426",-69.621708,-158.284603,3.9,Position senior evidence American wall parent consumer unit pull prevent.,7/14/2024
Jones LLC Hotel,"5112 Young Ridge, Amyborough, WI 29004",76.637902,-120.749035,4,Television site teacher practice move.,8/25/2024
Weeks-Morton Restaurant,"20730 Christine Village Apt. 179, East Aaron, MD 30549",-1.099516,-170.106935,4.2,Note rock start he though occur more share serious attention environment green.,8/16/2024
Harrison Ltd Restaurant,"883 Robin Circle, Kennedymouth, MO 37622",59.297643,88.843058,3.2,Send staff scientist however crime newspaper color win both wonder sign others enter act allow.,3/7/2024
Romero PLC Park,"47626 Mark Landing, Taylorborough, ME 96854",88.716756,-62.882002,3.3,Eight station article our television member recent.,7/7/2024
Lindsey Ltd Hotel,"8175 Baker Squares Suite 499, Rubiotown, MT 77569",89.544054,152.072938,4.5,Paper peace media special off will according imagine it itself focus week.,3/24/2024
"Jordan, Mullen and Wood Restaurant","4268 Richard Park, Lake Ericborough, PA 36872",-47.115498,16.267605,4.8,Because especially skill west life instead federal after central his.,3/25/2024
Bennett-Lawrence Cafe,"981 Suzanne Field Apt. 475, Dominguezville, NE 17880",42.174228,-146.440548,4.1,Test college term another true over scientist argue heavy sister will member able else reach year.,6/4/2024
"Robertson, Payne and Clark Park","810 Rocha Green, South Leslieburgh, IN 53045",80.107832,108.738968,3.8,Player attack out cell quickly middle marriage remain never foot long data occur.,7/14/2024
Brooks-Smith Park,"230 Janice Spur Apt. 687, Oliviaton, VA 39345",-72.953324,-54.646027,3.2,Animal democratic material mean meeting range fall effect.,12/28/2024
"Reyes, Castillo and Ballard Cafe","PSC 9269, Box 7752, APO AP 42918",42.006692,-158.547923,4.2,Court fly once.,3/17/2024
Murphy-Santana Restaurant,"058 Mary Rest Apt. 721, Lindseytown, WI 82824",88.475579,-6.156115,3.1,Drug support my let follow over he gun four brother sing growth skin.,7/21/2024
Robinson-Hill Hotel,"95409 Scott Ferry Apt. 012, Nicoleberg, CA 70035",-3.189667,-82.881468,3.6,Data stuff we business her toward experience.,8/21/2024
"Carroll, May and Moore Cafe","716 Brooks Square Apt. 107, New Raymond, NJ 58346",54.951004,73.929791,4.3,Success military first produce necessary pay phone.,11/3/2024
Guzman-Morris Restaurant,"050 Cooper Parkway, East Kristentown, TX 64373",-13.62731,59.656115,3.8,Provide choice attorney somebody Mr fast range stock fine less remember similar contain street.,4/8/2024
"Sandoval, Cain and Jenkins Museum","843 Dana Via Apt. 067, Jonesbury, RI 48593",12.54819,84.122338,3.8,Likely together carry city enter.,11/24/2024
Rollins Ltd Museum,"38024 Robert Glens, Angelaton, DC 04677",-46.691952,57.704021,3.2,Challenge home pick course throughout person small free fly.,1/15/2024
Mayo-Mcpherson Park,"75688 Price Expressway Apt. 592, West Kristin, WY 21186",11.236639,24.577353,4.6,Across student break response structure maybe road.,5/3/2024
Andrews-Clark Hotel,"7526 Thomas Locks Apt. 690, Lake Amanda, IL 29665",-59.781461,105.106457,3.5,Child example later age focus top society story seven feel eight yeah bar ago easy happen nation.,6/22/2024
Clark Group Hotel,"50732 Santiago Coves, Davidport, WV 93444",-14.002235,165.73253,3.5,Key organization from store area however stop fine.,5/29/2024
"Gonzales, Brock and Taylor Hotel","73578 Brandi Drive, East Brandonburgh, MO 69114",-5.233987,110.125269,4.6,Food force space figure more indicate edge finally.,7/9/2024
Chandler-Gonzales Hotel,"487 Douglas Flats Apt. 290, Romanfurt, MO 24275",-28.73507,5.578579,4.2,Necessary more college baby agreement whether forget computer.,8/27/2024
"West, Brown and Nunez Hotel","90797 Catherine Extension Apt. 951, Lake Gregory, MN 95937",37.786786,24.681351,3.7,Seat long large class.,10/20/2024
Taylor-Thompson Museum,"01129 William Rapids, Stephenville, DE 30763",-37.894503,56.41467,4.6,Environmental Republican try direction argue lose.,9/29/2024
Rubio-Giles Museum,"330 Ashley Trail Apt. 207, New Kristin, IN 56898",25.973326,-80.385213,3.6,Trouble air record follow anyone build maintain man staff foreign central.,12/1/2024
Hernandez-Fisher Park,"7848 Mathew Greens, Willisborough, MD 81155",14.832242,110.742374,4.1,Prove nice simple field blue pick production adult apply much similar leave role.,11/3/2024
Olsen Group Museum,"25976 Becky Mountain Suite 884, South Michellehaven, NH 81230",23.000466,-168.329729,4,Crime return receive allow let human detail difficult.,10/24/2024
Scott-Lee Hotel,"127 Troy Mountain Suite 252, West Connieburgh, AZ 31619",68.127893,-42.084135,3.9,Benefit clearly trial scientist though down wrong finish there hair story anything whom measure key suddenly care officer admit box.,10/6/2024
Barrera Group Museum,"680 Miller Curve Suite 617, Lake Emilyhaven, TX 29902",-20.832237,-163.715383,3.6,Minute main agree marriage two develop environmental policy.,4/21/2024
"Mills, Hurley and Brewer Restaurant","PSC 6047, Box 5573, APO AE 42406",-78.402508,100.796028,3.9,Certainly street hard none.,5/13/2024
Wright Group Restaurant,"871 Ewing Passage, Karenville, WV 58946",13.019138,-102.844156,4.1,Only former challenge know someone lose marriage current.,12/26/2024
"Burke, Woodward and Smith Hotel","580 Powell Prairie, East Matthewbury, ID 84595",-82.131114,-13.078911,4.6,Require police left boy nature generation.,2/1/2024
"Joseph, Lopez and Roberts Park","4598 Miller Ford Apt. 762, Jaredmouth, NM 82893",8.554413,-61.797242,3.2,Hospital huge season return industry ground but.,2/3/2024
"Fitzgerald, Richardson and Campos Park","058 Doyle Ways Apt. 694, Yatesburgh, NJ 94064",3.120211,-168.459513,3.8,Kid thank human range case kid or style score have former.,10/20/2024
"Wheeler, Beard and Simpson Hotel","712 Johnson Bypass Suite 410, New Keithmouth, AZ 93902",32.42858,-131.776974,4.7,Evidence thus education recognize mission close conference accept.,5/2/2024
Rasmussen-Morales Park,"23158 Shawn Turnpike Suite 282, West Rodney, IN 36128",-61.726971,-18.98916,4.4,Spring know attention institution show sing relationship fill short seem letter value little.,1/25/2024
"Hernandez, Krueger and Webb Hotel","3203 Greer Village, West Philip, AZ 41412",-31.15049,43.389525,3.2,Check southern compare president she including yet direction together fast hard group.,2/13/2024
Edwards LLC Park,"PSC 1973, Box 5078, APO AA 86708",73.72303,135.440838,3.7,State thank especially miss hour former after.,1/29/2024
Farmer Group Cafe,"6187 Tiffany Lodge, Stacyport, DE 02803",-4.278454,112.256211,3.3,Call life do evening production travel rise indicate animal heavy.,11/10/2024
"Mathews, Oliver and Mayer Museum","USNV Wallace, FPO AE 79094",26.920763,-31.335829,4.9,Themselves plant specific forward six agent western magazine despite watch organization ready size magazine its.,7/5/2024
